REF_AREA,Geographic area,INDICATOR,Indicator,SEX,Sex,AGE,Current age,RESIDENCE,Residence,EDUCATION_LEVEL,Education Level,SERIES_FOOTNOTE,UNIT_MULTIPLIER,Unit multiplier,UNIT_MEASURE,Unit of measure,TIME_PERIOD,OBS_VALUE,SOWC_FLAG_A,SOWC flag A,OBS_FOOTNOTE,OBS_STATUS,Observation Status,DATA_SOURCE,OBS_CONF,Observation confidentaility,TIME_PERIOD_METHOD,Time period activity related to when the data are collected,FREQ_COLL,Time interval at which the source data are collected
AUS,Australia,GN_UNMPLY,Labour force unemployment rate,_T,Total,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,5.2,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AUT,Austria,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,4.6,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AUT,Austria,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,4.3,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AUT,Austria,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,2,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AUT,Austria,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,5.6,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AUT,Austria,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,6.2,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AUT,Austria,GN_UNMPLY,Labour force unemployment rate,_T,Total,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,4.5,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AUT,Austria,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,2.3,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AZE,Azerbaijan,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,4.7,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AZE,Azerbaijan,GN_UNMPLY,Labour force unemployment rate,_T,Total,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,4.8,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AZE,Azerbaijan,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,2.6,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AZE,Azerbaijan,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,5.7,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AZE,Azerbaijan,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,6.6,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AZE,Azerbaijan,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,4,,,,A,Normal value,International Labour Organization (ILO),,,,,,
AZE,Azerbaijan,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,4,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BDI,Burundi,GN_UNMPLY,Labour force unemployment rate,_T,Total,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,1.4,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BDI,Burundi,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,0.9,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BDI,Burundi,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,1.9,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BDI,Burundi,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,0.3,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BDI,Burundi,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,8.2,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BDI,Burundi,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,7.8,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BDI,Burundi,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,1,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BEL,Belgium,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,4.9,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BEL,Belgium,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,5.7,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BEL,Belgium,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,5.1,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BEL,Belgium,GN_UNMPLY,Labour force unemployment rate,_T,Total,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,5.4,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BEL,Belgium,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,6,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BEL,Belgium,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,4.2,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BEL,Belgium,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,3.8,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BEN,Benin,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,2.5,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BEN,Benin,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,2.2,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BEN,Benin,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,1.4,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BEN,Benin,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,1,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BEN,Benin,GN_UNMPLY,Labour force unemployment rate,_T,Total,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,2.3,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BEN,Benin,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,3.6,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BEN,Benin,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,3.8,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BFA,Burkina Faso,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,6.6,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BFA,Burkina Faso,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,4.7,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BFA,Burkina Faso,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,4.5,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BFA,Burkina Faso,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,2.8,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BFA,Burkina Faso,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,3.9,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BFA,Burkina Faso,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,9.5,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BFA,Burkina Faso,GN_UNMPLY,Labour force unemployment rate,_T,Total,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,4.6,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BGD,Bangladesh,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,5.7,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BGD,Bangladesh,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,3.1,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BGD,Bangladesh,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,6.6,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BGD,Bangladesh,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,3.5,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BGD,Bangladesh,GN_UNMPLY,Labour force unemployment rate,_T,Total,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,4.2,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BGD,Bangladesh,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,3.2,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BGD,Bangladesh,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,8.9,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BGR,Bulgaria,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,4.5,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BGR,Bulgaria,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,8.1,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BGR,Bulgaria,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,2.7,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BGR,Bulgaria,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,7.7,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BGR,Bulgaria,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,3.9,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BGR,Bulgaria,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,3.2,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BGR,Bulgaria,GN_UNMPLY,Labour force unemployment rate,_T,Total,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,4.2,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BHR,Bahrain,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,5.2,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BHR,Bahrain,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,4.8,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BHR,Bahrain,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,3.6,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BHR,Bahrain,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,0.4,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BHR,Bahrain,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,0.9,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BHR,Bahrain,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,0.7,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BHR,Bahrain,GN_UNMPLY,Labour force unemployment rate,_T,Total,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,1.6,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BHS,Bahamas,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,10.2,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BHS,Bahamas,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,10.1,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BHS,Bahamas,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,10.1,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BHS,Bahamas,GN_UNMPLY,Labour force unemployment rate,_T,Total,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,10.1,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BHS,Bahamas,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,10.2,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BHS,Bahamas,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,9.9,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BHS,Bahamas,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,10.1,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BIH,Bosnia and Herzegovina,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,18.1,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BIH,Bosnia and Herzegovina,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,18.7,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BIH,Bosnia and Herzegovina,GN_UNMPLY,Labour force unemployment rate,F,Female,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,19.3,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BIH,Bosnia and Herzegovina,GN_UNMPLY,Labour force unemployment rate,_T,Total,Y_GE15,15 years old and over,_T,Total,_T,Total,,,,PCNT,%,2019,15.7,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BIH,Bosnia and Herzegovina,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,U,Urban,_T,Total,,,,PCNT,%,2019,15.6,,,,A,Normal value,International Labour Organization (ILO),,,,,,
BIH,Bosnia and Herzegovina,GN_UNMPLY,Labour force unemployment rate,M,Male,Y_GE15,15 years old and over,R,Rural,_T,Total,,,,PCNT,%,2019,12.2,,,,A,Normal value,International Labour Organization (ILO),,,,,,
